검색게시글,유포게시물,유포사이트,게시자id,URL,탐지시간,고유번호,분류,용량
-,[ 기 생 충 ] 1080p 초고화질 ( PARASITE ) 송강호 이선균 조여정 최우식 박소담 이정은,위디스크,남궁초원,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29259009,2020-03-26 15:51:56,c29259009,한국영화,5.0G
-,[기생충]HD 송강호 이선균 조여정 최우식 박소담,위디스크,chakmm,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28372702,2020-03-26 15:51:56,c28372702,일반,1.8G
-,[기생충]HD 봉준호 감독 충격 행복은 나눌수록 커지잖아요,위디스크,chakmm,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28372695,2020-03-26 15:51:56,c28372695,일반,1.8G
-,02월. (해외상영버전 뉴버전) (( ---ㄱ ㅣ 생 충--- )) 1080p초고화질,위디스크,샛별미소,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29344120,2020-03-26 15:51:56,c29344120,일반,3.1G
-,[기생충]HD 봉준호 칸영화제 황금종려상 송강호 이선균,위디스크,ininokok,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28349227,2020-03-26 15:51:56,c28349227,일반,3.3G
-,[기생충]영어 자막,위디스크,사람의노래,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29339484,2020-03-26 15:51:56,c29339484,한국영화,1.7G
-,[기생충]두 가족의 흥미로운 앙상블,위디스크,사람의노래,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29338489,2020-03-26 15:51:56,c29338489,한국영화,2.8G
-,[ 기생충 ] 행복은 나눌수록 커지잖아요 - 2019 송강호이선균,위디스크,ruli,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28527985,2020-03-26 15:51:56,c28527985,일반,3.0G
-,[ 기생충 ] 1080p. 송강호 이선균 조여정 최우식 박소담 감독봉준호 2019,위디스크,kdysouma,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29322433,2020-03-26 15:51:56,c29322433,한국영화,5.0G
-,기생충.2019.블루레이.1080p.아카데미 감독상작품상극본상인터네셔널 영화상 4관왕 명작 ! 칸영화제 황금종려상 수상작.봉준호 감독작품.송강호.이선균.조여정.Parasite.2019.KOREAN.1080p.BluRay.x264.DTS-FGT ].1080.i,위디스크,partyplanu,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28954406,2020-03-26 15:51:56,c28954406,일반,12G
-,기생충.2019.블루레이.720p.아카데미 감독상작품상극본상인터네셔널 영화상 4관왕 명작 칸영화제 황금종려상 수상작.봉준호 감독작품.송강호.이선균.조여정.Parasite.2019.KOREAN.720p.BluRay.x264.DTS-FGT.mkv,위디스크,partyplanu,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29191503,2020-03-26 15:51:56,c29191503,한국영화,6.5G
-,[1080p] 기생충 Parasite.2019.KOREAN.1080p.WEBRip.x264.AAC2.0-NOGRP 봉준호 송강호 이선균 조여정 최우식 박소담 정지소,위디스크,밀라,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28384705,2020-03-26 15:51:56,c28384705,일반,5.0G
-,1080p-[ 기생충 _ 초특급화질 ] 조여정 송강호 박소담 이선균 최우식. 행복은 나눌수록 커지잖아요!,위디스크,메뚝이너,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28351092,2020-03-26 15:51:56,c28351092,일반,5.0G
-,[ 기생충 ] PARASITE.2019.720p.HDRip.H264.AAC-NonDRM,위디스크,리틀아리,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28370128,2020-03-26 15:51:56,c28370128,일반,3.0G
-,<기생충.PARASITE .2020> 초고화질한국아카데미 작품상감독상봉준호감독송강호조여정골든글로브칸 황금종려상명작,위디스크,best108,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29192979,2020-03-26 15:51:56,c29192979,일반,4.1G
-,[720p] 기생충 PARASITE.2019.720p.HDRip.H264.AAC-NonDRM 봉준호 송강호 이선균 조여정 최우식 박소담 정지소,위디스크,밀라,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29081507,2020-03-26 15:51:56,c29081507,한국영화,3.0G
-,(한국 영화)기생충(PARASITE)(2019),위디스크,tkn37,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29306768,2020-03-26 15:51:56,c29306768,한국영화,6.6G
-,[720p] 기생충 2019 송강호 이선균 조여정 박소담 5,위디스크,방송원본,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29304649,2020-03-26 15:51:56,c29304649,한국영화,9.6G
-,[BR 1080p] 기생충 Parasite.2019.INTERNAL.1080p.BluRay.X264-AMIABLE,위디스크,navelious,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29301935,2020-03-26 15:51:56,c29301935,한국영화,20G
-,[아카데미 수상기념] 봉준호 감독 기생충  Parasite 2019 1080p ,위디스크,greetall,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29187784,2020-03-26 15:51:56,c29187784,한국영화,2.4G
-,[ 기생충 _ 정품 Full HD 1080p ] 송강호이선균조여정최우식박소담,위디스크,뽕신,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28347071,2020-03-26 15:51:56,c28347071,일반,5.0G
-,봉준호 감독 [ 기생충 ] 송강호 조여정 이선균 ,위디스크,버팔로66,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28802896,2020-03-26 15:51:56,c28802896,일반,3.8G
-,[720p] 기생충 2019 송강호 이선균 조여정 박소담 4,위디스크,방송원본,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29249334,2020-03-26 15:51:56,c29249334,한국영화,9.6G
-,2019 기생충 - 송강호이선균조여정최우식박소담,위디스크,제너시스,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29246104,2020-03-26 15:51:56,c29246104,한국영화,5.0G
-,(한국영화)기생충...송강호..이선균..조여정..최우식..박소담..이정은..장혜진..박명훈..주연,위디스크,gadkds,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29230140,2020-03-26 15:51:56,c29230140,한국영화,2.4G
-,[기생충]HD 봉준호 감독 충격 행복은 나눌수록 커지잖아요,위디스크,mbaro,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28348704,2020-03-26 15:51:56,c28348704,일반,1.8G
-,[기생충]HD 송강호 이선균 조여정 최우식 박소담,위디스크,ininokok,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28349231,2020-03-26 15:51:56,c28349231,일반,1.8G
-,[기생충]HD 봉준호 칸영화제 황금종려상 송강호 이선균,위디스크,mbaro,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28348717,2020-03-26 15:51:56,c28348717,일반,3.3G
-,[기생충]HD 송강호 이선균 조여정 최우식 박소담,위디스크,mbaro,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28348720,2020-03-26 15:51:56,c28348720,일반,1.8G
-,[BDrip] 기생충(Parasite) 2019.1080p (송강호박소담최우식이선균),위디스크,ips202spi,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29217082,2020-03-26 15:51:56,c29217082,한국영화,3.7G
-,기생충(Parasite) 2019.1080p.BluRay (송강호박소담최우식이선균),위디스크,ips202spi,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29217076,2020-03-26 15:51:56,c29217076,한국영화,12G
