검색게시글,유포게시물,유포사이트,게시자id,URL,탐지시간,고유번호,분류,용량
[고화질 한글] 잭 리처 1  Jack Reacher  2012,[고화질 한글] 잭 리처 1  Jack Reacher  2012,위디스크,ftloghey,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=23862958,2020-03-26 15:37:20,c23862958,액션,3.4G
-,잭 ㄹㅣㅊㅓ (Jack Reacher 2012),위디스크,nan,nan,2020-03-26 15:37:20,nan,nan,nan
-,잭 ㄹㅣㅊㅓ (Jack Reacher 2012),위디스크,바로업,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=27488986,2020-03-26 15:37:20,c27488986,일반,2.9G
-,[고화질 한글] 잭 리처 1  Jack Reacher  2012,위디스크,nan,nan,2020-03-26 15:37:20,nan,nan,nan
